artists_id,album_id,track_id,track_uri,track_name,track_release_date,track_date_added,track_duration_ms,track_popularity,track_position,is_explicit,country,timestamp,stream_count
74KM79TiuVKeVCqs8QtB0B,3iPSVi54hsacKKl1xIR2eH,5G2f63n7IPVPPjfNIGih7Q,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Taste,2024-08-23,2024-10-31T12:37:37Z,157279,94,11,False,Malaysia,2024-11-01,448894386
3uSnvyMAFJTm7XkZJFo0xP,4sigvBSInHo1GXR6UUYTVm,67C6LHREqmytK923Ak6R0I,spotify:track:67C6LHREqmytK923Ak6R0I,Sempurna,2022-02-14,2024-10-31T12:37:37Z,251714,61,12,False,Malaysia,2024-11-01,25254700
1oSPZhvZMIrWW5I41kPkkY,15XcLhiVMlSOipUddTNDnr,7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Who,2024-07-19,2024-10-31T12:37:37Z,170887,92,13,False,Malaysia,2024-11-01,890342043
"5Plk4JdCzMxhAHSRTEsxJp, 1lg1jqQMMJQQFFMnkxn0zV",59ptvvKVVgt5Oo8R6uYDda,7BgFlmOxrL7M1jVGoxqy37,spotify:track:7BgFlmOxrL7M1jVGoxqy37,Masing Masing,2023-11-03,2024-10-31T12:37:37Z,234589,77,14,False,Malaysia,2024-11-01,43426743
66CXWjxzNUsdJxJ2JdwvnR,5EYKrEDnKhhcNxGedaRQeK,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),2024-03-08,2024-10-31T12:37:37Z,228639,86,15,False,Malaysia,2024-11-01,988117319
47z98pKd71yIbgXwe9LPVC,5agEAxt8vks5Xk0NfEbI5D,2gcMYiZzzmzoF8PPAfL3IO,spotify:track:2gcMYiZzzmzoF8PPAfL3IO,"Untungnya, Hidup Harus Tetap Berjalan",2024-06-23,2024-10-31T12:37:37Z,182903,83,16,False,Malaysia,2024-11-01,110317887
3c0gDdb9lhnHGFtP4prQpn,1hjqg3TuQ2YqooaPhxHwdv,6aJn7Cst74cj4lNIiPRgav,spotify:track:6aJn7Cst74cj4lNIiPRgav,Touch,2024-07-26,2024-10-31T12:37:37Z,129882,86,17,False,Malaysia,2024-11-01,127747039
"1Xyo4u8uXC1ZmMpatF05PJ, 250b0Wlc5Vk0CoUsaCY84M, 1pBLC0qVRTB5zVMuteQ9jJ",7tzVd1fwkxsorytCBjEJkU,7CyPwkp0oE8Ro9Dd5CUDjW,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",2023-06-23,2024-10-31T12:37:37Z,244684,90,18,False,Malaysia,2024-11-01,1343280860
7tYKF4w9nC0nq9CsPZTHyP,1nrVofqDRs7cpWXJ49qTnP,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,2022-12-08,2024-10-31T12:37:37Z,153946,86,19,False,Malaysia,2024-11-01,2155717956
6YVMFz59CuY7ngCxTxjpxE,6RRuiUup6Z0Y0MxkCXOGyU,7Cnpb1vBbC46RgVyyKLH7p,spotify:track:7Cnpb1vBbC46RgVyyKLH7p,Whiplash,2024-10-21,2024-10-31T12:37:37Z,183226,65,20,False,Malaysia,2024-11-01,25989395
7GlBOeep6PqTfFi59PTUUN,1WAjjRMfZjEXtB0lQrAw6Q,0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2024-04-05,2024-10-31T12:37:37Z,218423,94,21,False,Malaysia,2024-11-01,887168565
7tYKF4w9nC0nq9CsPZTHyP,07w0rG5TETcyihsEIZR3qG,5Y35SjAfXjjG0sFQ3KOxmm,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,2022-12-09,2024-10-31T12:37:37Z,180853,84,22,True,Malaysia,2024-11-01,734901227
74KM79TiuVKeVCqs8QtB0B,3iPSVi54hsacKKl1xIR2eH,2tHwzyyOLoWSFqYNjeVMzj,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,2024-08-23,2024-10-31T12:37:37Z,186365,87,23,True,Malaysia,2024-11-01,957716490
0du5cEVh5yTK9QJze8zA0C,73pAZrAw8W3Ey9hBJYOVLt,4rMNgxEwGWoPHIUcvB5BrB,spotify:track:4rMNgxEwGWoPHIUcvB5BrB,It Will Rain,2011-09-27,2024-10-31T12:37:37Z,257847,65,24,False,Malaysia,2024-11-01,1000578599
0zo8fkOQyrawuBfIhy99jb,1rGFUVZxs41YwTvWv0q0Xt,0hlZ8daapg8QHpHsDyaqbg,spotify:track:0hlZ8daapg8QHpHsDyaqbg,Hanya Aku,2014-06-15,2024-10-31T12:37:37Z,200163,60,25,False,Malaysia,2024-11-01,20126118
7hr9W3IjXcm3UlLY7guLk5,19zU4YKQ8Gdn8QYQvXumhO,6EIMUjQ7Q8Zr2VtIUik4He,spotify:track:6EIMUjQ7Q8Zr2VtIUik4He,drunk text,2024-01-26,2024-10-31T12:37:37Z,187263,79,26,False,Malaysia,2024-11-01,350107884
4fVYwG8RsbJsREFFniszhf,4t9LkUma3iBV9PWJQG5cKP,6twyTAZjH3ap9GFkGukraz,spotify:track:6twyTAZjH3ap9GFkGukraz,Rahsia Tuhan,2024-09-06,2024-10-31T12:37:37Z,287071,57,27,False,Malaysia,2024-11-01,1360276
6FTLayBxjkQeanFdUusk1I,2HNKo2vMGhc9wON4NDfb04,3OTbh1VVrhebUzDor9r4pH,spotify:track:3OTbh1VVrhebUzDor9r4pH,Rumah Singgah,2023-02-02,2024-10-31T12:37:37Z,246730,74,28,False,Malaysia,2024-11-01,283538478
7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu,5XeFesFbtLpXzIVDNQP22n,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,2013-09-09,2024-10-31T12:37:37Z,183956,90,29,False,Malaysia,2024-11-01,2558895712
3uSnvyMAFJTm7XkZJFo0xP,71rJWafKCflIm3q1NzNm7n,1DVHCvTwuwtZrpYDV4irH5,spotify:track:1DVHCvTwuwtZrpYDV4irH5,Pulang,2018-11-23,2024-10-31T12:37:37Z,287477,59,30,False,Malaysia,2024-11-01,28660225
4gvjmrtzydbMpyJaXUtwvP,0XA403JTounqFh2owquBXu,6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024-08-09,2024-10-31T12:37:37Z,169697,88,31,False,Malaysia,2024-11-01,145882422
6YVMFz59CuY7ngCxTxjpxE,4vLGHlTnlIIxMSfefCY0cU,5sjnkOfTLCLNfkkchI2re2,spotify:track:5sjnkOfTLCLNfkkchI2re2,UP - KARINA Solo,2024-10-09,2024-10-31T12:37:37Z,166640,82,32,False,Malaysia,2024-11-01,28705962
6UgERnTHmjk3qXM9x5vzyO,19zDJ0Nd8Xfv7ctcQrlT5k,6i9Ci0IN1q1GcnhdbKU7kZ,spotify:track:6i9Ci0IN1q1GcnhdbKU7kZ,penjaga hati,2024-06-21,2024-10-31T12:37:37Z,260346,72,33,False,Malaysia,2024-11-01,319369192
3sMsWkApnc6yPyMUsNHQlb,0wKIcysg2raXx70ZiBRd1s,3uLb3akDowAYWp5QbbKN0w,spotify:track:3uLb3akDowAYWp5QbbKN0w,Di Balik Pertanda,2024-10-16,2024-10-31T12:37:37Z,216677,62,34,False,Malaysia,2024-11-01,16475355
"6VuMaDnrHyPL1p4EHjYLi7, 0C8ZW7ezQVs4URX5aX7Kqx",5J4SS8wTmXdyIEVYjmHzpZ,54PbBpquVfhfrwRwvjSXbI,spotify:track:54PbBpquVfhfrwRwvjSXbI,We Don't Talk Anymore (feat. Selena Gomez),2015-11-05,2024-10-31T12:37:37Z,217706,81,35,False,Malaysia,2024-11-01,2011564722
2WzaAvm2bBCf4pEhyuDgCY,6FgtuX3PtiB5civjHYhc52,2eAvDnpXP5W0cVtiI0PUxV,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Dandelions,2017-05-05,2024-10-31T12:37:37Z,233720,85,36,False,Malaysia,2024-11-01,1738570709
1JvbNeV9zG9Sew1JyaWsyx,6gO5mDyNTqiIqHItRil4OG,26cvTWJq2E1QqN4jyH2OTU,spotify:track:26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,2022-12-02,2024-10-31T12:37:37Z,231100,78,37,False,Malaysia,2024-11-01,491278395
